uuid,input,output
1ceac7c817ee4539bf7ca8401bb62af9,"[(18, 20), (47, 24), (33, 15), (87, 64), (34, 19), (65, 4), (47, 8), (94, 2)]","[(87, 64), (18, 20), (47, 8), (65, 4), (94, 2)]"
465443703195496dbb33d30bc6246875,"[(60, 16), (35, 39), (28, 42), (39, 49)]","[(28, 42), (60, 16), (39, 49)]"
465a3d9b8d13496ab469dea65f0fdaab,"[(65, 55), (93, 90), (79, 24), (93, 29), (90, 49), (98, 60), (85, 52), (84, 94)]","[(84, 94), (65, 55), (79, 24), (93, 29), (98, 60), (93, 90)]"
9d0e7aa221db4da7ade6f36088fb9166,"[(76, 45), (75, 26), (18, 65), (62, 6), (98, 85), (19, 84), (73, 94), (32, 99), (12, 94), (43, 8), (18, 56), (67, 11), (46, 61), (4, 36), (11, 62), (4, 2), (23, 79), (57, 73), (89, 72)]","[(12, 94), (4, 36), (4, 2), (62, 6), (67, 11), (75, 26), (98, 85), (73, 94), (32, 99)]"
d54bc77b3b89410f993a80be52759d67,"[(84, 4), (25, 70), (53, 74), (0, 10), (73, 32), (50, 39)]","[(0, 10), (84, 4), (73, 32), (53, 74), (25, 70)]"
b2054ea89bfe49f1af733a525e7bd504,"[(85, 58), (83, 42), (13, 29), (21, 93), (8, 2), (74, 0)]","[(21, 93), (8, 2), (74, 0), (83, 42), (85, 58)]"
cb422938bf89461ba537a3969158b250,"[(58, 67), (12, 76), (74, 21), (16, 9), (89, 93), (27, 87), (93, 33), (65, 72), (5, 7), (92, 93), (18, 9), (92, 48), (66, 31), (13, 27), (82, 36)]","[(12, 76), (5, 7), (18, 9), (74, 21), (93, 33), (92, 93), (89, 93), (27, 87)]"
df29846baf644a4aad9b4e6bf681cdf1,"[(75, 23), (70, 18), (29, 61), (9, 97), (14, 36), (52, 81), (94, 4), (59, 25), (89, 84), (4, 56), (62, 72), (25, 35), (62, 13), (81, 38), (19, 23), (43, 26), (16, 72), (96, 83), (23, 96), (33, 4)]","[(94, 4), (96, 83), (23, 96), (9, 97), (4, 56), (19, 23), (33, 4)]"
c6292c068bfb49b28ad5d7fa3f625b0d,"[(87, 16), (49, 31), (39, 55), (84, 15)]","[(87, 16), (39, 55), (49, 31), (84, 15)]"
3232d6feb5ca430a8fb26e5dd0f13789,"[(4, 39), (14, 53), (68, 71), (51, 54), (32, 24), (3, 59)]","[(68, 71), (3, 59), (4, 39), (32, 24)]"
5c26affb8c28416684244396a0b3402c,"[(41, 4), (75, 61), (82, 87), (70, 87)]","[(41, 4), (75, 61), (82, 87), (70, 87)]"
0def8966bcbc4157a18b70e99e887136,"[(18, 9), (66, 45), (54, 83), (2, 47), (41, 9), (95, 15), (64, 60), (92, 8), (42, 61)]","[(54, 83), (2, 47), (18, 9), (92, 8), (95, 15)]"
a07327f6f6034e249b7b69e9a1ba2521,"[(4, 27), (12, 32), (48, 87), (30, 50), (62, 15), (44, 14), (65, 82), (72, 81), (59, 96), (91, 35)]","[(62, 15), (91, 35), (72, 81), (59, 96), (48, 87), (4, 27), (44, 14)]"
efd6f1049e3647d4ac257721f04a079b,"[(30, 44), (89, 76), (11, 39), (71, 99), (65, 3), (82, 4), (50, 39), (48, 45), (38, 47), (91, 26), (32, 67), (27, 23), (27, 99), (83, 83), (4, 30), (56, 61)]","[(27, 99), (4, 30), (65, 3), (82, 4), (91, 26), (89, 76), (71, 99)]"
300f4b366f304d8fb861a142ecf4d0fa,"[(6, 88), (43, 55), (96, 42), (95, 56), (64, 90), (61, 96), (49, 57), (49, 58), (55, 24), (5, 81), (58, 46), (10, 18), (17, 15), (57, 67), (66, 69), (64, 74), (2, 99), (24, 97)]","[(61, 96), (2, 99), (10, 18), (17, 15), (55, 24), (96, 42), (95, 56)]"
7e6841e5a6fa4b7d89167d7dce7a5bbd,"[(32, 1), (89, 93), (24, 91), (4, 53), (5, 9)]","[(32, 1), (89, 93), (24, 91), (4, 53), (5, 9)]"
67d14d93cb774677af449daa321f4c60,"[(80, 80), (18, 46), (87, 64), (17, 13)]","[(17, 13), (87, 64), (80, 80), (18, 46)]"
43c79272e0c14abd98ed69a5b0bdd2fe,"[(42, 2), (93, 2), (25, 79), (65, 27), (39, 70), (70, 97), (29, 73), (47, 41), (27, 64), (64, 91), (25, 29), (92, 77), (87, 81)]","[(70, 97), (25, 79), (25, 29), (42, 2), (93, 2), (92, 77)]"
1ed78ef5b8064422acab99714dc49ca6,"[(2, 7), (28, 84), (64, 0)]","[(2, 7), (64, 0), (28, 84)]"
82e145def3b3420db5e1e55ecb725b05,"[(34, 77), (61, 8), (30, 39), (90, 10), (19, 37), (53, 87), (37, 87), (40, 57), (81, 61), (68, 47), (16, 65), (18, 86), (56, 92), (14, 93), (83, 9)]","[(56, 92), (14, 93), (16, 65), (19, 37), (61, 8), (83, 9), (90, 10), (81, 61)]"
98d43a610f8b42e8a0217cd6e620ad29,"[(14, 37), (91, 83), (55, 59), (62, 54), (76, 61), (66, 14), (80, 38), (40, 58), (39, 9), (1, 88), (47, 11), (90, 16), (43, 85), (43, 43), (24, 13), (29, 22), (17, 24), (44, 11), (50, 83)]","[(91, 83), (1, 88), (17, 24), (24, 13), (39, 9), (90, 16)]"
ebf5b0fee4c3419bb88d3080c1e25761,"[(92, 23), (88, 89), (52, 18), (54, 26), (98, 84), (74, 69), (30, 56), (50, 12), (67, 15), (41, 14), (73, 30), (50, 72), (54, 51), (91, 97), (4, 26), (1, 76), (94, 47), (91, 66)]","[(92, 23), (98, 84), (91, 97), (1, 76), (4, 26), (41, 14), (50, 12), (67, 15)]"
947758c86bea4e3d9dd08682905ec767,"[(19, 35), (4, 56), (59, 0), (14, 95), (58, 70), (35, 16), (7, 73), (13, 63), (64, 94), (39, 21), (7, 62), (99, 92), (63, 33), (2, 7), (10, 14), (86, 54), (29, 15), (46, 26), (8, 11)]","[(2, 7), (59, 0), (86, 54), (99, 92), (64, 94), (14, 95), (7, 73), (4, 56)]"
6c2fee275f5d4b718053cbdb8b96d041,"[(41, 26), (56, 32), (80, 81), (24, 29), (2, 93), (63, 56), (95, 38), (68, 5), (43, 33), (9, 32), (89, 74), (59, 41), (33, 42), (27, 50), (10, 78), (94, 27), (61, 48)]","[(2, 93), (9, 32), (68, 5), (94, 27), (95, 38), (89, 74), (80, 81)]"
8d8b3e7bbf904e9aa36dd180c1798f97,"[(51, 70), (71, 88), (12, 29), (96, 13), (54, 35), (55, 5), (11, 77), (59, 37), (90, 30), (5, 96), (42, 66), (47, 52), (8, 77), (21, 59)]","[(55, 5), (96, 13), (71, 88), (5, 96), (12, 29)]"
f9bcc3ebff7c400c8c302a148f352d84,"[(9, 16), (18, 43), (47, 41)]","[(9, 16), (47, 41), (18, 43)]"
3aa3852797254f57b057ceb658f20ecc,"[(21, 42), (21, 67), (27, 39), (62, 84), (25, 2), (4, 31), (88, 79), (8, 9), (53, 82), (87, 87), (91, 81), (28, 83), (30, 67), (97, 9), (77, 67), (51, 70), (86, 80), (81, 87)]","[(28, 83), (4, 31), (8, 9), (25, 2), (97, 9), (91, 81), (87, 87), (81, 87)]"
8c53557bbe3b49c8a91faa7abc36e7bf,"[(90, 68), (25, 97), (99, 14), (44, 88), (97, 7), (48, 45), (96, 1)]","[(96, 1), (99, 14), (90, 68), (25, 97), (48, 45)]"
6511240b827647a1a20de3745ab1d522,"[(80, 9), (98, 14), (6, 70), (72, 10), (30, 11), (9, 54)]","[(98, 14), (6, 70), (9, 54), (30, 11), (80, 9)]"
41fff15613e74f8e9d04be3ec6e248cb,"[(69, 58), (24, 35), (86, 2), (26, 51), (64, 65)]","[(24, 35), (86, 2), (69, 58), (64, 65), (26, 51)]"
6f48fbbf4064466cbdd925aff1491db2,"[(82, 14), (16, 17), (88, 94), (53, 15), (84, 46), (1, 47), (47, 19), (10, 53), (5, 54), (93, 40)]","[(93, 40), (88, 94), (5, 54), (1, 47), (16, 17), (53, 15), (82, 14)]"
0425e35fe9dc41159c86444fe7aff5a3,"[(24, 86), (49, 46), (80, 89), (24, 87), (76, 87), (97, 92), (60, 28), (68, 39), (20, 8), (53, 17), (85, 79), (57, 53), (69, 84), (39, 65), (95, 15), (0, 60), (12, 8)]","[(95, 15), (97, 92), (24, 87), (0, 60), (12, 8), (20, 8)]"
d7bee6d21f7844f28a5776b29f4ce2cd,"[(54, 1), (80, 63), (79, 14), (41, 20)]","[(80, 63), (41, 20), (54, 1), (79, 14)]"
a326461556f147f8958ab511a0690810,"[(28, 91), (96, 23), (56, 49), (95, 61), (33, 69), (30, 31)]","[(28, 91), (30, 31), (96, 23), (95, 61)]"
612c813703d54eed971058a558fc1b8a,"[(38, 87), (55, 12), (49, 73), (78, 54), (2, 95), (99, 86)]","[(99, 86), (2, 95), (55, 12)]"
a21a8526566541138dd177a33ad276d8,"[(33, 35), (99, 64), (98, 44)]","[(99, 64), (33, 35), (98, 44)]"
06ac01f3effc4c329abc5ff141f7c69c,"[(16, 39), (66, 44), (3, 84), (33, 10), (47, 64), (21, 58), (98, 33), (29, 44), (57, 77), (46, 19), (80, 78), (1, 46), (29, 81), (27, 85), (18, 77)]","[(1, 46), (33, 10), (98, 33), (80, 78), (27, 85), (3, 84)]"
117777b2dbf245b88d4065d2f4c44b68,"[(66, 41), (47, 27), (30, 14), (50, 2), (62, 19), (33, 12), (74, 31), (89, 49), (47, 38), (41, 94), (33, 54), (0, 1), (5, 33), (62, 63), (43, 49), (26, 80), (63, 44)]","[(89, 49), (41, 94), (26, 80), (5, 33), (0, 1), (50, 2)]"
ff3c8c873b894d51ac2c45007d2c3252,"[(27, 82), (86, 59), (76, 51), (13, 10), (71, 74), (35, 92), (62, 58), (61, 33), (86, 95), (84, 60), (32, 28), (61, 80), (50, 17), (31, 80), (53, 90)]","[(86, 59), (86, 95), (35, 92), (27, 82), (13, 10), (50, 17)]"
0d43eb39a45c431b9ee996409e797fc2,"[(67, 61), (70, 11), (17, 83), (8, 51), (92, 30), (87, 23), (39, 3), (26, 59), (91, 83), (34, 97), (31, 59), (62, 5), (94, 43), (41, 26), (95, 45), (86, 21)]","[(8, 51), (39, 3), (62, 5), (86, 21), (92, 30), (95, 45), (91, 83), (34, 97), (17, 83)]"
0248e7660b214442b6657dfec1a79da7,"[(65, 18), (67, 64), (43, 43), (81, 86), (77, 36), (48, 66), (98, 81), (70, 50), (80, 75), (78, 1), (44, 10), (60, 72), (95, 47), (37, 97), (89, 51), (94, 35), (97, 97), (62, 77)]","[(37, 97), (44, 10), (78, 1), (94, 35), (98, 81), (97, 97)]"
9788dc3f4c7f4d5e9fd598729cdab895,"[(42, 46), (46, 67), (31, 66), (42, 75), (56, 46), (84, 89), (89, 24), (96, 62), (0, 70), (65, 51)]","[(89, 24), (96, 62), (84, 89), (0, 70), (42, 46)]"
19cbca44e8564770b41d4decfab09b3e,"[(93, 17), (86, 54), (38, 72), (13, 15), (40, 72), (91, 66), (43, 24)]","[(13, 15), (93, 17), (91, 66), (40, 72), (38, 72)]"
21d71cad12b94e759a1d922600777f24,"[(79, 76), (42, 56), (78, 8), (11, 88), (48, 55), (62, 58), (42, 93), (93, 44), (91, 60), (92, 62), (89, 50), (4, 86), (41, 92), (80, 91), (48, 51), (74, 80), (76, 1)]","[(4, 86), (76, 1), (93, 44), (92, 62), (80, 91), (42, 93), (11, 88)]"
7300bbe7204141be9c0ae9ac66651d9d,"[(24, 77), (67, 94), (55, 68), (43, 9), (95, 93), (31, 26), (38, 99), (82, 35)]","[(82, 35), (95, 93), (38, 99), (24, 77), (31, 26), (43, 9)]"
809fedd934ec4699b287864256f2dbc4,"[(17, 21), (72, 21), (92, 50), (15, 58), (92, 71), (40, 22), (52, 9), (98, 64), (63, 81), (20, 5), (82, 76), (47, 48), (0, 1), (83, 61), (12, 7)]","[(15, 58), (0, 1), (52, 9), (72, 21), (92, 50), (98, 64), (92, 71), (82, 76), (63, 81)]"
c8fa4a9bab354b6ba5db1e005c8e7097,"[(92, 36), (57, 16), (80, 44), (29, 92), (98, 2), (65, 0)]","[(65, 0), (98, 2), (92, 36), (29, 92), (57, 16)]"
5b44f96e2dce4ba6bca5bb69bee061fe,"[(23, 45), (18, 85), (4, 69), (3, 13), (4, 26), (90, 26), (79, 22), (6, 77), (90, 52), (1, 22), (60, 16), (70, 24), (32, 12)]","[(90, 26), (90, 52), (18, 85), (6, 77), (4, 69), (1, 22), (3, 13), (32, 12), (60, 16), (79, 22)]"
f32db23272124939bc3fefe2647e00ab,"[(43, 21), (88, 17), (39, 15), (36, 31), (69, 22), (68, 21), (18, 64), (35, 88), (1, 19), (34, 99), (68, 1), (88, 46), (67, 54), (51, 43), (89, 29), (73, 57)]","[(1, 19), (68, 1), (88, 17), (89, 29), (88, 46), (34, 99), (18, 64)]"
050de5bd26cf415586e29678db033c41,"[(50, 86), (9, 28), (99, 26), (34, 20), (82, 7), (36, 96), (41, 2), (75, 45), (53, 78), (87, 8), (79, 41), (78, 14), (15, 4), (86, 34), (5, 71), (39, 17), (33, 6), (37, 20), (25, 71), (74, 16)]","[(36, 96), (5, 71), (9, 28), (15, 4), (41, 2), (82, 7), (87, 8), (99, 26), (50, 86)]"
bafc7fb11748452b8a46e6a43bb687ae,"[(29, 26), (90, 36), (89, 39), (41, 12), (92, 38), (77, 99), (84, 68), (89, 47), (22, 94), (16, 19), (5, 55), (98, 78), (93, 69)]","[(22, 94), (5, 55), (16, 19), (41, 12), (90, 36), (92, 38), (98, 78), (77, 99)]"
9ef8e187efd345d183d3e45c90f26314,"[(58, 48), (30, 68), (98, 19), (17, 95), (29, 87), (72, 54), (33, 75), (62, 49), (64, 66), (66, 76), (37, 24), (99, 65), (70, 70), (96, 13), (4, 97), (10, 61)]","[(37, 24), (96, 13), (98, 19), (99, 65), (17, 95), (4, 97), (10, 61)]"
bd7462e983c74682ae71720079d0563f,"[(70, 91), (46, 60), (1, 29), (68, 29), (89, 14), (94, 96), (32, 61), (57, 9), (1, 94)]","[(1, 29), (57, 9), (89, 14), (94, 96), (1, 94)]"
120b5c0123594113aa9b94809aa0496a,"[(26, 97), (77, 74), (5, 0), (80, 88), (11, 78), (10, 53), (26, 38), (5, 38), (64, 0), (17, 69), (53, 19), (35, 49)]","[(80, 88), (26, 97), (11, 78), (5, 38), (5, 0), (64, 0)]"
d2b6dfc050ab4f728efb93d56ca0ba81,"[(54, 97), (74, 20), (23, 55), (98, 78), (57, 61), (9, 35), (87, 95), (16, 74)]","[(9, 35), (74, 20), (98, 78), (87, 95), (54, 97), (16, 74)]"
006466bbb486491daeabb6c9a00c9692,"[(17, 91), (13, 7), (56, 90), (81, 77), (66, 89), (28, 94), (79, 69), (90, 31), (4, 90), (85, 53), (9, 80), (56, 76), (73, 26), (45, 58), (20, 76), (49, 24), (9, 12), (39, 33), (43, 21)]","[(13, 7), (90, 31), (81, 77), (66, 89), (28, 94), (4, 90), (9, 12)]"
0493c94a25044243b2f3ad97da6c5dc5,"[(37, 99), (97, 54), (11, 5), (43, 55), (43, 68), (92, 3), (68, 68), (42, 41), (72, 16), (69, 96), (16, 82), (75, 27), (20, 58), (81, 21), (43, 41), (2, 60), (8, 43), (53, 16)]","[(92, 3), (97, 54), (69, 96), (37, 99), (16, 82), (2, 60), (11, 5)]"
4cadf91335de47898ba00235b13f37ca,"[(55, 87), (77, 22), (53, 54), (4, 50), (88, 24), (55, 3)]","[(55, 87), (4, 50), (55, 3), (88, 24)]"
9324b54850da4b4ba08b724ad2223e69,"[(32, 13), (83, 36), (63, 83), (87, 20), (20, 57)]","[(63, 83), (20, 57), (32, 13), (87, 20), (83, 36)]"
41413b367eb74f4dbd7560ba6f74a598,"[(3, 57), (87, 91), (60, 1), (53, 41), (98, 89)]","[(3, 57), (60, 1), (98, 89), (87, 91)]"
98e930f8d40846338accd83be37547b7,"[(62, 19), (80, 64), (43, 10), (57, 91), (11, 92), (45, 15), (20, 35), (29, 84), (42, 19), (71, 22), (50, 63), (11, 13), (76, 12), (18, 67), (70, 1), (72, 87), (76, 68), (18, 0)]","[(18, 0), (70, 1), (76, 12), (80, 64), (72, 87), (57, 91), (11, 92), (11, 13)]"
bffc12f765134d968bdf038fc9210b40,"[(85, 8), (18, 45), (28, 50), (28, 44), (16, 36), (89, 27), (6, 25), (43, 68), (78, 56), (36, 29), (76, 30), (8, 37)]","[(6, 25), (85, 8), (89, 27), (78, 56), (43, 68), (8, 37)]"
d3816c69e3c64aa3b0160a93462ad7ab,"[(76, 94), (65, 39), (38, 11), (14, 33), (38, 59), (13, 60), (37, 47), (93, 39)]","[(76, 94), (13, 60), (14, 33), (38, 11), (93, 39)]"
5da059d356fa413ebfb409476e499d10,"[(23, 12), (0, 76), (2, 56), (43, 94), (79, 44), (6, 16), (73, 58), (12, 32), (55, 57), (47, 66), (98, 7), (67, 40), (73, 56), (26, 34), (47, 6), (87, 77), (62, 47), (16, 56)]","[(43, 94), (0, 76), (6, 16), (47, 6), (98, 7), (87, 77)]"
4ca958d5617b461da20c993b6dab3742,"[(46, 16), (51, 41), (17, 63), (16, 68), (32, 97), (22, 63), (21, 38), (76, 10), (45, 7), (18, 86)]","[(76, 10), (32, 97), (18, 86), (16, 68), (21, 38), (45, 7)]"
6a98eacbe9aa4d5f9998e36ccd477a55,"[(30, 19), (86, 24), (52, 77), (50, 61), (66, 89), (12, 84), (29, 20), (59, 60), (98, 56)]","[(86, 24), (98, 56), (66, 89), (12, 84), (29, 20), (30, 19)]"
a81a03be4ef647db9b49b22692157340,"[(33, 40), (30, 42), (11, 54), (25, 2), (22, 40), (53, 68), (60, 57), (79, 41), (57, 75), (0, 54), (69, 36), (37, 28)]","[(0, 54), (25, 2), (79, 41), (57, 75)]"
89c4f05d67ec469a9665224e11a6bc17,"[(9, 93), (3, 38), (94, 16), (75, 16)]","[(9, 93), (3, 38), (75, 16), (94, 16)]"
77da64b541d24090a5a1702510fd9d07,"[(43, 8), (1, 89), (49, 90), (79, 38), (69, 1), (49, 60), (59, 23), (5, 15), (2, 71), (96, 74), (2, 52), (17, 59), (70, 43), (31, 37)]","[(69, 1), (96, 74), (49, 90), (1, 89), (2, 52), (5, 15)]"
ea6bee0aadb24e07b2dc738626807e5a,"[(69, 14), (48, 28), (95, 94), (32, 28), (81, 63), (75, 73), (89, 27), (10, 25), (51, 92), (80, 52), (78, 94), (46, 78), (34, 74), (64, 49)]","[(10, 25), (69, 14), (89, 27), (95, 94), (78, 94), (51, 92), (34, 74)]"
23fe7380d07d4a59ae85d3475906081b,"[(43, 99), (23, 99), (96, 97)]","[(23, 99), (96, 97), (43, 99)]"
cc3a7a1a18e541c3b894d8c02b93905f,"[(53, 39), (87, 7), (13, 46), (60, 22), (3, 72)]","[(53, 39), (3, 72), (13, 46), (87, 7)]"
cdf55573f3db4705917ba1feee06c228,"[(34, 68), (63, 68), (7, 25), (51, 97), (22, 68), (49, 9), (35, 29)]","[(7, 25), (49, 9), (63, 68), (51, 97), (22, 68)]"
900cd698550b4dd2bbda63e830089ca2,"[(35, 56), (54, 82), (27, 33), (1, 17), (22, 38), (72, 60), (62, 53)]","[(54, 82), (1, 17), (62, 53), (72, 60)]"
fc06301f1d874e16bad8942343ce0916,"[(29, 30), (63, 82), (43, 74), (69, 85), (50, 78), (41, 61), (77, 48), (44, 60), (54, 14), (60, 9), (4, 91), (26, 20), (29, 15), (35, 66), (90, 19), (73, 22), (68, 0)]","[(68, 0), (90, 19), (69, 85), (4, 91), (26, 20), (29, 15)]"
9a269e2f309948f2a2c0276aba9ff1a5,"[(37, 76), (57, 83), (22, 87), (57, 27), (43, 20), (60, 43), (35, 41)]","[(57, 83), (22, 87), (35, 41), (43, 20), (57, 27), (60, 43)]"
a496d44324814c74ba2bf7e8cd5d18a1,"[(61, 58), (54, 48), (54, 75), (20, 72), (2, 36), (23, 57), (34, 32), (58, 43), (84, 73), (0, 53), (11, 69), (0, 21), (65, 6), (83, 22), (7, 13), (57, 68), (59, 39), (20, 44), (59, 20)]","[(7, 13), (65, 6), (83, 22), (84, 73), (54, 75), (20, 72), (11, 69), (0, 53), (0, 21)]"
3843c72f5dd64c09abfb5937202be3ce,"[(95, 33), (70, 41), (73, 38), (82, 22), (88, 4), (11, 96), (82, 37), (5, 84)]","[(5, 84), (88, 4), (95, 33), (11, 96)]"
151d8c91319943138c6820aa4c09b88f,"[(29, 25), (31, 35), (36, 66), (59, 68), (35, 42), (46, 21), (53, 15), (0, 15), (79, 10)]","[(0, 15), (79, 10), (59, 68), (36, 66)]"
2aa27a33866e40dfa7e8d025fabc069d,"[(83, 83), (70, 78), (27, 31), (83, 6), (49, 40), (93, 85), (40, 74), (24, 51), (71, 18), (38, 49), (25, 59), (34, 49), (7, 84), (18, 54), (8, 9), (41, 43), (86, 67), (62, 57), (63, 56), (11, 3)]","[(93, 85), (7, 84), (8, 9), (11, 3), (83, 6)]"
5096c590dabf4072b5570392a9a04ead,"[(1, 55), (87, 35), (60, 96), (31, 43), (63, 5)]","[(60, 96), (1, 55), (63, 5), (87, 35)]"
43d0753336874201b86a1ec4601ce89a,"[(1, 26), (89, 75), (99, 24), (40, 50), (33, 60), (45, 8), (50, 49), (79, 28), (17, 45)]","[(99, 24), (89, 75), (33, 60), (17, 45), (1, 26), (45, 8)]"
9bb59b9a05374207bb492015885da0a0,"[(38, 37), (16, 87), (15, 51), (43, 42), (90, 8), (37, 71), (50, 59), (5, 97), (3, 61)]","[(5, 97), (3, 61), (15, 51), (38, 37), (90, 8), (50, 59), (37, 71)]"
9f7d54800a5f49e8b31020f280e54b6c,"[(53, 22), (79, 93), (26, 17), (94, 60), (29, 56), (82, 31), (89, 80), (32, 87), (8, 98), (96, 89), (50, 89), (76, 72), (0, 26), (24, 71)]","[(8, 98), (0, 26), (26, 17), (53, 22), (82, 31), (94, 60), (96, 89), (79, 93)]"
68cf98707a414d51853228cdfa401e6e,"[(89, 77), (35, 2), (77, 83), (18, 77), (90, 84), (39, 44), (50, 41)]","[(18, 77), (35, 2), (89, 77), (90, 84), (77, 83)]"
15cea48f85ba45c4b971fa70839f5433,"[(68, 38), (83, 20), (57, 43), (42, 30), (33, 82), (58, 69), (17, 94), (65, 15), (97, 45), (68, 84), (78, 40), (67, 26), (12, 51), (63, 50), (50, 61), (72, 49), (5, 95), (95, 63)]","[(5, 95), (12, 51), (42, 30), (65, 15), (83, 20), (97, 45), (95, 63), (68, 84), (17, 94)]"
239aae998cd24cb4a96214f13c6395b2,"[(18, 60), (84, 50), (29, 80), (94, 50), (76, 63), (91, 73), (85, 75)]","[(29, 80), (18, 60), (84, 50), (94, 50), (91, 73), (85, 75)]"
23d339e7972b4d8d9e4bae044750a97e,"[(36, 89), (43, 42), (87, 7), (2, 57), (73, 57), (89, 38), (93, 59), (93, 70), (45, 17)]","[(87, 7), (93, 59), (93, 70), (36, 89), (2, 57), (45, 17)]"
3bdb25f5197f4ad998f3def5dea0c0a2,"[(75, 86), (74, 53), (11, 31), (15, 8), (81, 39), (44, 14), (87, 61), (62, 71), (33, 18), (9, 93), (72, 9), (20, 2), (44, 86), (60, 26), (77, 18), (43, 72)]","[(20, 2), (72, 9), (77, 18), (87, 61), (75, 86), (9, 93), (11, 31), (15, 8)]"
b2250548084441c0ba7a9e020e2d0d3e,"[(54, 94), (10, 52), (38, 36)]","[(54, 94), (10, 52), (38, 36)]"
5ebd1fa36fd34f38990913eb699f21af,"[(23, 52), (61, 69), (61, 35), (93, 90), (30, 44), (50, 77), (65, 84), (27, 90), (24, 32), (46, 49), (36, 55), (51, 42), (37, 98), (24, 79), (73, 84), (67, 95), (73, 3), (14, 17), (31, 24)]","[(14, 17), (73, 3), (93, 90), (67, 95), (37, 98), (27, 90), (24, 79)]"
2d947fcd2ec74139b1231b23099a055b,"[(70, 13), (52, 17), (85, 51), (2, 55), (35, 5), (17, 78)]","[(2, 55), (35, 5), (70, 13), (85, 51), (17, 78)]"
0b97c10b021f40679d866052b64aac5b,"[(36, 63), (15, 63), (70, 87), (70, 54), (4, 79), (3, 27), (45, 53), (60, 29), (30, 30), (47, 15), (33, 87), (92, 46), (57, 31)]","[(92, 46), (70, 87), (33, 87), (4, 79), (3, 27), (47, 15)]"
8020cd6e0a2b4804a0bf445fa5531f83,"[(96, 99), (90, 79), (82, 57), (53, 95), (21, 22), (91, 35), (78, 93), (1, 3)]","[(1, 3), (91, 35), (96, 99), (53, 95)]"
48d7d353c65548408c8b72b00216a77b,"[(53, 21), (89, 52), (63, 2)]","[(89, 52), (53, 21), (63, 2)]"
fd6f0ab915f04809b2fdab4684c1b604,"[(69, 21), (31, 25), (29, 22), (61, 44), (6, 9), (37, 22), (0, 53), (7, 36), (30, 88), (73, 58), (98, 0), (55, 89), (84, 72), (81, 54)]","[(0, 53), (6, 9), (98, 0), (84, 72), (55, 89), (30, 88)]"
ac76b70bd72049bcbf0afa4315b33d45,"[(96, 80), (75, 37), (78, 90), (60, 6), (42, 51), (38, 75), (46, 1), (80, 1), (82, 25), (61, 61), (28, 61), (64, 84), (96, 76), (66, 69), (48, 51), (63, 82), (18, 24), (47, 99)]","[(28, 61), (18, 24), (46, 1), (80, 1), (96, 76), (96, 80), (78, 90), (47, 99)]"
d1e974cc9bf64e7cba4a0ede09b7ef2b,"[(40, 39), (77, 30), (46, 91), (36, 38), (27, 74), (19, 49), (65, 3)]","[(77, 30), (46, 91), (27, 74), (19, 49), (65, 3)]"
1d54384b5c884293b691f03d773f85e1,"[(37, 61), (4, 93), (41, 28), (68, 76), (29, 19)]","[(68, 76), (4, 93), (29, 19), (41, 28)]"
2a00b4ab17c44cd2b2edb4b4583835c4,"[(77, 2), (52, 35), (86, 17), (38, 10), (36, 63), (27, 72), (46, 82), (89, 37), (79, 75), (73, 31), (32, 97), (68, 80)]","[(89, 37), (79, 75), (32, 97), (27, 72), (38, 10), (77, 2), (86, 17)]"
cbae67593cc64326a252b1f333754915,"[(50, 13), (35, 21), (76, 40), (68, 70), (97, 9), (1, 85), (0, 90), (6, 27), (42, 35), (40, 16), (29, 37), (55, 67), (1, 72), (20, 99), (3, 81), (70, 58), (39, 70)]","[(20, 99), (0, 90), (1, 72), (6, 27), (40, 16), (50, 13), (97, 9), (68, 70)]"
58743550cdbc4036bdd60f013344254e,"[(77, 33), (88, 60), (46, 62), (50, 3), (93, 79), (11, 36), (28, 89), (72, 71), (21, 82), (36, 21), (40, 63)]","[(11, 36), (50, 3), (77, 33), (88, 60), (93, 79), (28, 89), (21, 82)]"
204edbc6e3804cbf959872da8b56f1f2,"[(47, 58), (82, 95), (87, 42), (47, 93), (96, 80), (23, 46)]","[(23, 46), (87, 42), (96, 80), (82, 95), (47, 93)]"
986d1c68bfba4a48934db62c075b704b,"[(6, 81), (49, 21), (85, 6), (67, 41), (3, 84), (96, 92), (62, 0)]","[(96, 92), (3, 84), (62, 0), (85, 6)]"
4d94dff9cd5d4acc9a909a2819cb24de,"[(50, 18), (29, 75), (67, 50), (92, 43), (56, 62), (19, 0), (2, 10), (74, 47)]","[(29, 75), (2, 10), (19, 0), (50, 18), (92, 43), (56, 62)]"
5190b14da19a4b3e8131f8a9cef00a4f,"[(92, 55), (43, 77), (12, 43), (93, 30), (81, 73), (10, 43), (65, 29), (5, 6), (39, 19), (92, 22), (8, 22), (96, 40), (40, 86), (15, 75), (1, 68), (38, 14), (33, 36), (47, 73), (62, 13)]","[(1, 68), (5, 6), (62, 13), (92, 22), (96, 40), (92, 55), (81, 73), (40, 86), (15, 75)]"
